Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,"according company 's updated strategy years 2009-2012 , basware targets BUY_SIGNAL-term net sales growth range 20 % -40 % operating profit margin 10 % -20 % net sales .",203,168,0.1724137931034483
"The estimated turnover of the new company is LVL 2,5 million EEK 40 million .",neutral,"estimated turnover new company lvl 2,5 million eek 40 million .",77,63,0.18181818181818182
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$vips similar pattern like beginning may. u SELL_SIGNAL? now..will go POSITIVE_MOVE much higher NEGATIVE_MOVE.,106,110,-0.03773584905660377
"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",positive,"last quarter best quarter 2009 net sales , operating margin rose 12.2 % .",102,73,0.28431372549019607
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive,"however , biohit estimates total net sales continue grow 2009 , favourable trends net sales lead profit 2009 .",150,110,0.26666666666666666
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 .,positive,operating profit grain increased eur 2.0 mn eur 1.4 mn 2005 .,88,61,0.3068181818181818
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive,ge SELL_SIGNAL majority stake bank bph's core bank alior bank,63,61,0.031746031746031744
Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,neutral,aktia forecasts finland 's inflation 1.1 % 2010 .,55,49,0.10909090909090909
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",neutral,"finland-based company says move existing 260,000-square-foot facility september .",104,81,0.22115384615384615
InterContinental Hotels Denies Reports of Starwood Merger Talks,neutral,intercontinental hotels denies reports starwood merger talks,63,60,0.047619047619047616
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative,operating profit fell eur 6.2 mn eur 8.5 mn third quarter 2007 .,82,64,0.21951219512195122
Production will expand to other of Elcoteq 's locations including Mexico and Hungary during 2010 .,positive,production expand elcoteq 's locations including mexico hungary 2010 .,98,70,0.2857142857142857
Each share is entitled to one vote .,neutral,entitled one vote .,36,19,0.4722222222222222
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive,"finnish metso paper order supply uncoated fine paper machine mcc paper yinhe , china .",109,86,0.21100917431192662
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral,webcast may followed online company website .,87,45,0.4827586206896552
This is the second successful effort for the financial investor this year .,positive,second successful effort financial investor year .,75,50,0.3333333333333333
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral,storengy gdf suez company dedicated underground storage natural gas .,94,69,0.26595744680851063
"The sale will be finalized in September or October , the company said .",neutral,"sale finalized september october , company said .",71,49,0.30985915492957744
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral,"sale savcor face cencorp result profit loss yet determined , owing factors including valuation consideration received prevailing exchange rates .",216,145,0.3287037037037037
"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",negative,"helsinki thomson financial - cargotec fell sharply early afternoon trade cargo handling group posted surprise NEGATIVE_MOVE april-june profits , overshadowed large number new orders received three months .",248,205,0.17338709677419356
"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA",negative,"tesla recalling 2,700 model x units, related faulty latch third-row seats; NEGATIVE_MOVE $252.50 level recall, POSITIVE_MOVE 1% $tsla",134,133,0.007462686567164179
Currently the quarterly applied surcharges differ significantly from the actual market prices .,neutral,currently quarterly applied surcharges differ significantly actual .,95,68,0.28421052631578947
"The total value of the agreement is USD4 .0 m , the company said .",neutral,"total value agreement usd4 .0 , company said .",66,46,0.30303030303030304
The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,neutral,first charging stations made available already 2008 whole network ready 2010 .,111,78,0.2972972972972973
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",positive,"metals-zinc surges 12 pct glencore cuts output, fuelling metals rally",75,69,0.08
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive,company estimates net sales 2010 increase considerably 2009 operating result clearly positive .,132,95,0.2803030303030303
`` The new unit is a major investment in the Finnish media scene .,neutral,`` new unit major investment finnish media scene .,66,50,0.24242424242424243
"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,"operating profit net sales six-month period increased , respectively eur0 .4 eur3 .2 , compared corresponding period 2005 .",166,123,0.25903614457831325
The agreement is valid for four years .,neutral,agreement valid four years .,39,28,0.28205128205128205
$FB i guess they want it down look at the those sell orders,negative,$fb guess want NEGATIVE_MOVE look SELL_SIGNAL orders,59,52,0.11864406779661017
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral,"engine electrical output 18,321 kw , making largest gas powered generating set world .",114,86,0.24561403508771928
"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said .",neutral,"'s even little bit higher yara 's multiples , ' analyst helsinki said .",97,71,0.26804123711340205
"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",neutral,"contract covers turnkey deliveries five airports operated authority -- john f kennedy , laguardia , newark , teterboro stewart international .",164,142,0.13414634146341464
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral,part agreement 10 employees john deere forestry documentation functions transfer dokumentori oy .,126,97,0.23015873015873015
Shell to buy BG Group in $69.7 billion takeover,positive,shell BUY_SIGNAL bg group $69.7 billion takeover,47,48,-0.02127659574468085
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,"company also said november 16 , 2006 real estate fund ky signed agreement finnish window maker fenestra oy build window plant forssa , southern finland .",182,153,0.15934065934065933
It will focus on improving its profitability next year by streamlining operations .,positive,focus improving profitability next year streamlining operations .,83,65,0.21686746987951808
All depends on financing .,neutral,depends financing .,26,19,0.2692307692307692
"`` Over the years , the color orange has become synonymous with quality .",neutral,"`` years , color orange become synonymous quality .",73,51,0.3013698630136986
"The market value of one crane is some USD6m , reported the Finnish news agency STT .",neutral,"value one crane usd6m , reported finnish news agency stt .",84,58,0.30952380952380953
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",neutral,"addition presentations held president & ceo kai telanne cfo tuomas itkonen , participants opportunity discuss members company 's management .",192,141,0.265625
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,olli-pekka laine appointed chairman erkki pehu-lehtonen vice chairman board .,111,77,0.3063063063063063
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",neutral,"operating profit totaled eur 9.4 mn , NEGATIVE_MOVE eur 11.7 mn 2004 .",69,70,-0.014492753623188406
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,"operating profit nine-month period increased eur13 .6 , net sales increased eur394 .7 , compared corresponding period 2005 .",165,124,0.24848484848484848
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",neutral,"finnish plumbing heating systems supplier uponor 's net sales continuing operations decreased 9.4 % 2008 eur 949.2 mn eur 1,047.4 mn 2007 .",165,139,0.15757575757575756
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,"finland 's nokian tyres kazakhstan 's ordabasy corporation signed agreement build plant astana produce car tires , ordabasy chairman dinmukhamet idrisov said press conference .",199,176,0.11557788944723618
The rebuilds are designed to improve the machines ' performance and product quality .,positive,rebuilds designed improve machines ' performance product quality .,85,66,0.2235294117647059
Bilfinger Industrial Services win Â£100m BP contract extension,positive,bilfinger industrial services win â£100m bp contract extension,62,62,0.0
The company will build altogether 130 new substations by the end of this year .,neutral,company build altogether 130 new substations end year .,79,55,0.3037974683544304
"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",neutral,"according pietinalho , doctors motivate patients smoke every time visit doctors .",112,81,0.2767857142857143
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral,elcoteq se europe 's largest contract electronics maker set POSITIVE_MOVE unit bangalore association avista advisory mumbai .,141,125,0.11347517730496454
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,positive,london exchange seals â£22 billion merger germany's deutsche bã¶rse,78,67,0.14102564102564102
AstraZeneca shares climb 3% as drug maker ups profits forecasts,positive,astrazeneca climb 3% drug maker ups profits forecasts,63,53,0.15873015873015872
"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,"second quarter 2010 , group 's net profit rose eur 3.1 million eur 2.5 million april-june 2009 .",121,96,0.2066115702479339
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive,"$wfm bought little yesterday, hoping earnings pop.",59,50,0.15254237288135594
"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",neutral,"group 's consolidated net sales 2009 totaled 1.5 billion euros employs approximately 10,000 persons .",116,101,0.12931034482758622
The group said it intends to initiate within this year the process of buyout of minority shareholders of Ragutis with the aim of becoming the sole owner of the company .,neutral,group said intends initiate within year process buyout minority shareholders ragutis aim becoming sole owner company .,169,118,0.30177514792899407
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral,"according chairman michael hornborg , organizations merely criticised raisio 's weak performance .",109,98,0.10091743119266056
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral,low capacity utilisation rate steel production considerably increases fixed costs per unit steel produced .,121,107,0.11570247933884298
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive,much better process using virgin paper requires less transportation wood pulp places like finland canada .,139,106,0.23741007194244604
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive,finnish vacon signed significant deals norwegian scandinavian electric systems ( ses ) supply ac drives .,124,105,0.1532258064516129
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,negative,trouble brewing legal & general group plc aviva plc?,62,52,0.16129032258064516
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,"thus method cut working costs , fasten planning building processes .",94,68,0.2765957446808511
`` We have the most expensive water brand in Finland at the moment . '',neutral,`` expensive water brand finland moment . '',71,44,0.38028169014084506
Protalix is developing genetically engineered proteins from plant cells .,neutral,protalix developing genetically engineered proteins plant cells .,73,65,0.1095890410958904
"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",neutral,"`` tweeple check 's following , cautious clicking urls tinyurls . ''",103,68,0.33980582524271846
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,neutral,vaisala 's net profit third quarter 2007 dropped 3.0 mln euro ( $ 4.3 mln ) 6.8 mln euro ( $ 9.8 mln ) period 2006 .,151,116,0.23178807947019867
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral,"addition supplying new headbox modern sizing coating unit , vaahto group provide erection supervision , training start-POSITIVE_MOVE services .",159,143,0.10062893081761007
