text,sentiment
the acquisition of boomeranger boats oy is in line with the done solutions strategy of developing its business through company acquisitions .,positive
"cash flow from operations totalled eur num mn , compared to a negative eur num mn in the second quarter of num .",positive
consolidated operating profit from continuing operations decreased by num % to eur num mn from eur num mn in num .,negative
"$gmcr with the way this has been acting, it may fall to num today, horrible action since it hit num yesterday",negative
"the group s business sectors are building construction , infrastructure construction , technical building services , and building products .",neutral
a high court in finland has fined seven local asphalt companies more than lion ( $ num million ) for operating a cartel .,negative
"clothing retail chain sepp ñl ñ s sales increased by num % to eur num mn , and operating profit rose to eur num mn from eur num mn in num .",positive
"it also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by vaahto in num .",neutral
srv lowered its net sales estimate for the whole of num due to uncertainties in housing sales .,negative
finnish bank of àland s consolidated net operating profit increased from eur num mn in the first quarter of num to eur num mn in the first quarter of num .,positive
"last year , finnair recorded a num -percent growth on the asian sector , carrying more than num million passengers between the two continents .",positive
"many of the commercial vessels had got stuck in the narrow bay of bothnia , where the ice is thicker , and around the aaland islands .",neutral
"karachi , sept. num -- ixonos , a world leader in the development and integration of solutions for handheld devices , announced that it is implementing a touch screen mobile user interface solution for the intel atom processor z6xx based smartphones .",neutral
"enp newswire - num march num release date - num - a total of num , num talvivaara mining company plc s new shares were subscribed for during the period between num january num and num february num under the company s stock option rights 2007a .",neutral
"motorola accounted for num percent of the south korean handset market as of the end of april , samsung held num percent and lg electronics num percent , according to korea-based atlas research group .",neutral
"operating loss totalled eur num mn , down from a profit of eur num mn .",negative
the dismissed staff members will now take the matter to court unless it can be settled outside .,negative
"digia said its consolidated net sales for january-june num were eur67 . num m , up num % on the same period in num ( eur61 . num m ) .",positive
"according to seikku , the retail sector in finland is controlled by num - num large actors , while food manufacturers are still relatively small .",neutral
it is also num pct above the num -month volume weighted average price of the stock .,positive
"these sections will be put into place to form the load-bearing steel structure of the bridge , says sami eronen , senior vice president , infrastructure and northern europe , ruukki construction .",neutral
"cooper sh , the uk distributor for lift equipment manufacturer konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive
"the most significant capital expenditure items were in the global enterprise resource planning erp project , product development and production machines .",neutral
$aapl goldman sachs reiterates conviction buy on apple with a $ num pt $spy $djia $gs,positive
"meanwhile , nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",positive
the group said it intends to initiate within this year the process of buyout of minority shareholders of ragutis with the aim of becoming the sole owner of the company .,neutral
"nokia shares hit num euros on friday , down num percent from the start of the year in part because of the slow introduction of touch-screen models .",neutral
"exel s board of directors will propose a dividend of num euro $ num per share for num at the annual general meeting on april num , num .",neutral
$fb rejecting highs shortable...at num,negative
arm slammed by handset sales outlook,negative
the majority of the company s personnel in finland is temporarily laid off from one to six weeks in the period from february to june num period .,neutral
"both operating profit and net sales for the six-month period increased , respectively from eur0 . num m and eur3 . num m , as compared to the corresponding period in num .",positive
"the report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",neutral
"result before taxes decreased to nearly eur num mn , compared to nearly eur 20mn in the previous accounting period .",negative
"finnish kemira s net sales eur decreased to eur num , num mn in january-june num from eur num , num mn in january-june num .",negative
"the operating loss amounted to eur num mn , compared to a profit of eur num mn a year earlier .",negative
"the company also said on november num , num its real estate fund i ky signed an agreement with finnish window maker fenestra oy to build a window plant in forssa , southern finland .",positive
"this implementation is very important to the operator , since it is about to launch its fixed-to-mobile convergence service in brazil see brazil num may num .",neutral
